date,GAZP
2023-05-26,164.48
2023-05-29,163.6
2023-05-30,161.9
2023-05-31,162.94
2023-06-01,161.55
2023-06-02,162.58
2023-06-05,162.47
2023-06-06,163.16
2023-06-07,164.65
2023-06-08,166.18
2023-06-09,165.58
2023-06-13,168.43
2023-06-14,167.88
2023-06-15,171.86
2023-06-16,169.87
2023-06-19,170.19
2023-06-20,169.64
2023-06-21,170.2
2023-06-22,168.41
2023-06-23,165.8
2023-06-26,166.91
2023-06-27,166.45
2023-06-28,168.05
2023-06-29,167.88
2023-06-30,166.86
2023-07-03,166.82
2023-07-04,165.5
2023-07-05,165.71
2023-07-06,166.36
2023-07-07,166.34
2023-07-10,167.59
2023-07-11,168.85
2023-07-12,170.3
2023-07-13,168.96
2023-07-14,169.7
2023-07-17,170.63
2023-07-18,174.89
2023-07-19,173.04
2023-07-20,169.92
2023-07-21,171.19
2023-07-24,171.98
2023-07-25,171.86
2023-07-26,171.35
2023-07-27,172.0
2023-07-28,171.44
2023-07-31,174.33
2023-08-01,173.21
2023-08-02,174.07
2023-08-03,177.1
2023-08-04,173.46
2023-08-07,172.52
2023-08-08,172.71
2023-08-09,174.51
2023-08-10,176.65
2023-08-11,176.35
2023-08-14,177.09
2023-08-15,176.16
2023-08-16,174.14
2023-08-17,174.14
2023-08-18,175.48
2023-08-21,176.36
2023-08-22,176.48
2023-08-23,173.65
2023-08-24,174.97
2023-08-25,174.7
2023-08-28,176.2
2023-08-29,178.69
2023-08-30,177.47
2023-08-31,177.99
2023-09-01,178.22
2023-09-04,181.11
2023-09-05,182.48
2023-09-06,180.96
2023-09-07,177.64
2023-09-08,175.95
2023-09-11,174.64
2023-09-12,177.62
2023-09-13,174.94
2023-09-14,173.52
2023-09-15,173.79
2023-09-18,172.8
2023-09-19,168.93
2023-09-20,169.11
2023-09-21,165.85
2023-09-22,166.7
2023-09-25,165.87
2023-09-26,165.36
2023-09-27,165.53
2023-09-28,169.58
2023-09-29,167.09
2023-10-02,166.08
2023-10-03,166.75
2023-10-04,165.4
2023-10-05,166.06
2023-10-06,166.59
2023-10-09,167.06
2023-10-10,168.03
2023-10-11,167.89
2023-10-12,169.5
2023-10-13,170.2
2023-10-16,172.55
2023-10-17,171.97
2023-10-18,170.18
2023-10-19,170.38
2023-10-20,171.39
2023-10-23,170.39
2023-10-24,170.19
2023-10-25,169.62
2023-10-26,168.45
2023-10-27,167.26
2023-10-30,167.16
2023-10-31,167.88
2023-11-01,170.08
2023-11-02,168.18
2023-11-03,169.19
2023-11-06,169.48
2023-11-07,168.53
2023-11-08,168.49
2023-11-09,168.16
2023-11-10,168.25
2023-11-13,167.85
2023-11-14,165.86
2023-11-15,166.46
2023-11-16,165.48
2023-11-17,165.31
2023-11-20,165.51
2023-11-21,165.15
2023-11-22,165.37
2023-11-23,164.11
2023-11-24,164.71
2023-11-27,162.79
2023-11-28,164.21
2023-11-29,163.17
2023-11-30,163.23
2023-12-01,162.61
2023-12-04,160.01
2023-12-05,160.46
2023-12-06,158.74
2023-12-07,163.38
2023-12-08,161.5
2023-12-11,164.87
2023-12-12,162.46
2023-12-13,163.92
2023-12-14,160.89
2023-12-15,164.2
2023-12-18,167.0
2023-12-19,165.48
2023-12-20,163.56
2023-12-21,161.57
2023-12-22,162.09
2023-12-25,161.09
2023-12-26,161.0
2023-12-27,159.86
2023-12-28,159.14
2023-12-29,159.52
2024-01-03,161.44
2024-01-04,161.25
2024-01-05,161.94
2024-01-08,163.05
2024-01-09,162.41
2024-01-10,162.87
2024-01-11,162.5
2024-01-12,163.37
2024-01-15,163.34
2024-01-16,163.22
2024-01-17,164.04
2024-01-18,166.52
2024-01-19,165.9
2024-01-22,166.06
2024-01-23,168.31
2024-01-24,166.36
2024-01-25,165.42
2024-01-26,163.99
2024-01-29,163.5
2024-01-30,163.22
2024-01-31,166.33
2024-02-01,165.25
2024-02-02,164.4
2024-02-05,164.87
2024-02-06,164.56
2024-02-07,164.62
2024-02-08,163.21
2024-02-09,163.23
2024-02-12,162.49
2024-02-13,162.29
2024-02-14,161.92
2024-02-15,161.59
2024-02-16,161.19
2024-02-19,161.24
2024-02-20,159.5
2024-02-21,158.64
2024-02-22,158.12
2024-02-26,160.09
2024-02-27,159.04
2024-02-28,160.65
2024-02-29,161.82
2024-03-01,161.34
2024-03-04,161.24
2024-03-05,160.98
2024-03-06,161.65
2024-03-07,160.91
2024-03-11,160.56
2024-03-12,162.99
2024-03-13,161.77
2024-03-14,161.1
2024-03-15,160.86
2024-03-18,160.58
2024-03-19,158.55
2024-03-20,158.42
2024-03-21,158.28
2024-03-22,156.44
2024-03-25,158.84
2024-03-26,157.94
2024-03-27,157.79
2024-03-28,157.05
2024-03-29,157.22
2024-04-01,158.06
2024-04-02,164.18
2024-04-03,162.63
2024-04-04,162.69
2024-04-05,163.59
2024-04-08,163.89
2024-04-09,164.08
2024-04-10,164.74
2024-04-11,166.24
2024-04-12,164.83
2024-04-15,163.33
2024-04-16,164.38
2024-04-17,164.62
2024-04-18,165.4
2024-04-19,167.03
2024-04-22,166.77
2024-04-23,163.7
2024-04-24,162.86
2024-04-25,163.35
2024-04-26,162.46
2024-04-27,164.06
2024-04-29,164.03
2024-04-30,163.22
2024-05-02,157.75
2024-05-03,155.2
2024-05-06,153.64
2024-05-07,154.16
2024-05-08,154.22
2024-05-10,154.58
2024-05-13,157.9
2024-05-14,156.16
2024-05-15,156.97
2024-05-16,157.88
2024-05-17,155.17
2024-05-20,145.03
2024-05-21,139.54
2024-05-22,139.25
2024-05-23,134.69
2024-05-24,133.34
2024-05-27,128.42
2024-05-28,128.47
2024-05-29,128.89
2024-05-30,124.93
2024-05-31,126.46
2024-06-03,124.14
2024-06-04,125.1
2024-06-05,124.02
2024-06-06,123.6
2024-06-07,122.78
2024-06-10,119.0
2024-06-11,117.53
2024-06-13,119.63
2024-06-14,121.65
2024-06-17,121.54
2024-06-18,118.02
2024-06-19,113.85
2024-06-20,115.92
2024-06-21,115.4
2024-06-24,113.67
2024-06-25,114.97
2024-06-26,117.0
2024-06-27,115.65
2024-06-28,115.94
2024-07-01,121.4
2024-07-02,126.2
2024-07-03,124.96
2024-07-04,122.17
2024-07-05,126.74
2024-07-08,127.74
2024-07-09,124.05
2024-07-10,117.81
2024-07-11,121.75
2024-07-12,119.65
2024-07-15,119.28
2024-07-16,124.74
2024-07-17,124.46
2024-07-18,129.81
2024-07-19,130.88
2024-07-22,131.61
2024-07-23,134.07
2024-07-24,136.73
2024-07-25,135.1
2024-07-26,135.0
2024-07-29,130.99
2024-07-30,132.4
2024-07-31,133.31
2024-08-01,132.05
2024-08-02,131.45
2024-08-05,127.25
2024-08-06,128.7
2024-08-07,129.84
2024-08-08,128.14
2024-08-09,128.64
2024-08-12,128.71
2024-08-13,130.49
2024-08-14,129.84
2024-08-15,127.6
2024-08-16,126.36
2024-08-19,126.29
2024-08-20,125.85
